courseCode,courseName,courseWeek,duration
noc24-ae02,Aircraft Design,12 weeks,January - June 2023
noc24-ae03,Computational Science in Engineering,8 Weeks,January - June 2024
noc24-ae04,Fundamentals of Theoretical and Experimental Aerodynamics,12 Weeks,January - June 2025
noc24-ae05,Introduction to Aircraft Control System,12 Weeks,January - June 2023
noc24-ae06,Introduction to Experiments in Flight,4 Weeks,January - June 2023
noc24-ae07,Lighter than Air Systems,12 Weeks,January - June 2024
noc24-ae08,Rocket Propulsion,12 Weeks,January - June 2024
noc24-ae09,Combustion of Solid Fuels and Propellants,8 Weeks,January - June 2024
noc24-ae10,Introduction to Ancient Indian Technology,8 Weeks,January - June 2024
noc24-ae11,Aerospace Structural Analysis,8 Weeks,January - June 2024
noc24-ae12,Fundamentals of Supersonic and Hypersonic Flow,12 Weeks,January - June 2024
noc24-ag01,Cooling Technology: Why and How utilized in Food Processing and allied Industries,12 Weeks,January - June 2024
noc24-ag02,Machine Learning For Soil And Crop Management,12 Weeks,January - June 2024
noc24-ag03,Novel Technologies For Food Processing And Shelf Life Extension,12 Weeks,January - June 2024
noc24-ag04,Traction Engineering,8 Weeks,January - June 2024
noc24-ag05,Watershed Hydrology,12 weeks,January - June 2024
noc24-ag06,Water Quality Management Practices,12 weeks,January - June 2024
noc24-ag07,Modern Food Packaging Technologies: Regulatory Aspects and Global Trends,12 weeks,January - June 2024
noc24-ag08,Basics of Crop Breeding and Plant Biotechnology,12 Weeks,January - June 2024
noc24-ar01,Engineering/Architectural Graphics - part I - Orthographic projection,8 Weeks,January - June 2024
noc24-ar02,Engineering/Architectural Graphics – part II – Isometric and Axonometric Drawings,4 Weeks,January - June 2023
noc24-ar03,Environmental Impact Assessment,12 Weeks,January - June 2024
noc24-ar04,"Structure, Form, and Architecture: The Synergy",8 Weeks,January - June 2024
noc24-ar05,User Interface Design,4 Weeks,January - June 2024
noc24-ar06,Introduction to History of Architecture in India,4 Weeks,January - June 2024
noc24-ar07,Research Methodology for Planning and Architectural Studies,12 Weeks,January - June 2024
noc24-ar08,Urban Services Planning,12 Weeks,January - June 2024
noc24-bt01,Maternal Infant Young Child Nutrition,12 Weeks,January - June 2023
noc24-bt02,Maternal Infant Young Child Nutrition (Hindi),12 Weeks,January - June 2023
noc24-bt03,Computational Genomics,12 Weeks,January - June 2023
noc24-bt04,RNA Biology,12 Weeks,January - June 2023
noc24-bt05,Human Physiology,12 Weeks,January - June 2023
noc24-bt06,Biomechanics,12 Weeks,January - June 2023
noc24-bt07,Molecular Biology,12 Weeks,January - June 2023
noc24-bt08,Pharmacognosy & Metabolic Engineering,12 weeks,January - June 2023
noc24-bt09,Plant Developmental Biology,4 Weeks,January - June 2023
noc24-bt10,Structural Biology,12 Weeks,January - June 2023
noc24-bt11,Data Analysis For Biologists,8 Weeks,January - June 2023
noc24-bt12,Biochemistry - IITM,12 Weeks,January - June 2023
noc24-bt13,Bioelectrochemistry,4 weeks,January - June 2023
noc24-bt14,Bioengineering: An Interface with Biology and Medicine,8 Weeks,January - June 2023
noc24-bt15,BioInformatics: Algorithms and Applications,12 Weeks,January - June 2023
noc24-bt16,Biointerface Engineering,8 Weeks,January - June 2023
noc24-bt17,Bioreactor Design and Analysis,8 Weeks,January - June 2023
noc24-bt18,"Cell Biology: Cellular organization, division and processes",8 Weeks,January - June 2023
noc24-bt19,Computational Systems Biology,12 Weeks,January - June 2023
noc24-bt20,Conservation Economics,12 Weeks,January - June 2023
noc24-bt21,Demystifying The Brain,4 Weeks,January - June 2023
noc24-bt22,Enzyme Sciences and Technology,12 Weeks,January - June 2023
noc24-bt23,Forests and their Management,12 Weeks,January - June 2023
noc24-bt24,Host-Pathogen Interaction (Immunology),12 Weeks,January - June 2023
noc24-bt25,Interactomics : Basics & Applications,12 Weeks,January - June 2023
noc24-bt26,Introductory Mathematical Methods for Biologists,8 Weeks,January - June 2023
noc24-bt27,Material and Energy Balances,12 Weeks,January - June 2023
noc24-bt28,Medical Biomaterials,8 Weeks,January - June 2023
noc24-bt29,Metabolic Engineering,8 Weeks,January - June 2023
noc24-bt30,Nanotechnology In Agriculture,8 Weeks,January - June 2023
noc24-bt31,Thermodynamics for Biological Systems : Classical and Statistical Aspects,12 Weeks,January - June 2023
noc24-bt32,Optical Spectroscopy and Microscopy : Fundamentals of optical measurements and instrumentation,12 Weeks,January - June 2023
noc24-bt33,Biostatistics and Design of experiments,8 Weeks,January - June 2023
noc24-bt34,Introduction To Professional Scientific Communication,4 Weeks,January - June 2023
noc24-bt36,I Think Biology,12 Weeks,January - June 2023
noc24-bt37,"Microsensors, Implantable Devices and Rodent Surgeries for Biomedical Applications",12 Weeks,January - June 2023
noc24-bt38,Classics in Neuroscience,8 Weeks,January - June 2023
noc24-ce01,Advanced Foundation Engineering,12 Weeks,January - June 2023
noc24-ce02,Advanced Soil Mechanics,12 Weeks,January - June 2023
noc24-ce03,Air pollution and Control,12 Weeks,January - June 2023
noc24-ce04,Applied Environmental Microbiology,12 Weeks,January - June 2023
noc24-ce05,Applied Seismology for Engineers,12 Weeks,January - June 2023
noc24-ce06,Basic construction materials,12 Weeks,January - June 2023
noc24-ce07,Construction Methods And Equipment Management,8 Weeks,January - June 2023
noc24-ce08,Development and Applications of Special Concretes,8 Weeks,January - June 2023
noc24-ce09,Earthquake Resistant Design of Foundations,8 Weeks,January - June 2023
noc24-ce10,Engineering Hydrology,12 Weeks,January - June 2023
noc24-ce11,Environmental Remediation of Contaminated Sites,12 Weeks,January - June 2023
noc24-ce12,Expansive Soil,8 Weeks,January - June 2023
noc24-ce13,Finite Element Method,12 Weeks,January - June 2023
noc24-ce14,Geographic Information Systems,12 Weeks,January - June 2023
noc24-ce15,Geology and Soil Mechanics,12 Weeks,January - June 2023
noc24-ce16,Geomorphology,12 Weeks,January - June 2023
noc24-ce17,Geosynthetics And Reinforced Soil Structures,12 Weeks,January - June 2023
noc24-ce18,Geotechnical Engineering - 1,12 Weeks,January - June 2023
noc24-ce19,Geotechnical Engineering II Foundation Engineering,12 Weeks,January - June 2023
noc24-ce20,Hydraulic Engineering,12 Weeks,January - June 2023
noc24-ce21,Introduction to Accounting and Finance for Civil Engineers,8 Weeks,January - June 2023
noc24-ce22,Maintenance and Repair of Concrete Structures,12 Weeks,January - June 2023
noc24-ce23,Mechanical Characterization of Bituminous Materials,12 Weeks,January - June 2023
noc24-ce24,Microwave Remote Sensing in Hydrology,12 Weeks,January - June 2023
noc24-ce25,Plastic Waste Management,8 Weeks,January - June 2023
noc24-ce26,Remote Sensing Essentials,12 Weeks,January - June 2023
noc24-ce27,Retrofitting and Rehabilitation of Civil Infrastructure,12 Weeks,January - June 2023
noc24-ce28,Rock Engineering,12 Weeks,January - June 2023
noc24-ce29,Soil Dynamics,12 Weeks,January - June 2023
noc24-ce30,Soil Structure Interaction,12 Weeks,January - June 2023
noc24-ce31,Structural Analysis-I,12 Weeks,January - June 2023
noc24-ce32,Structural Dynamics,12 Weeks,January - June 2023
noc24-ce33,Structural Vibration,12 Weeks,January - June 2023
noc24-ce34,Surface Water Hydrology,12 Weeks,January - June 2023
noc24-ce35,Traffic Engineering,12 Weeks,January - June 2023
noc24-ce36,Unsaturated Soil Mechanics,12 Weeks,January - June 2023
noc24-ce37,Urban Transportation Systems Planning,12 Weeks,January - June 2023
noc24-ce38,Vibration of Continuous Systems,12 Weeks,January - June 2023
noc24-ce39,Water and waste water treatment,12 Weeks,January - June 2023
noc24-ce40,Water Supply Engineering,12 Weeks,January - June 2023
noc24-ce41,निर्माण प्रबंधन (Construction Management) के सिद्धांत[Nirman prabandhan (Construction Management) ke Siddhant],8 Weeks,January - June 2023
noc24-ce42,Analysis and Design of Bituminous Pavements,12 Weeks,January - June 2023
noc24-ce43,Introduction to Lean Construction (Module 1 - Lean Basics),4 Weeks,January - June 2023
noc24-ce44,Modern Construction Materials,12 Weeks,January - June 2023
noc24-ce45,Introduction to Civil Engineering Profession,8 Weeks,January - June 2023
noc24-ce46,Concrete Technology,12 Weeks,January - June 2023
noc24-ce47,"Energy Efficiency, Acoustics and Daylighting in Building",12 Weeks,January - June 2023
noc24-ce48,Remote Sensing and GIS for rural development,12 Weeks,January - June 2023
noc24-ce49,The evolution of the Earth and life,12 Weeks,January - June 2023
noc24-ce50,Geomorphic Processes: Landforms And Landscapes,8 Weeks,January - June 2023
noc24-ce51,Natural Hazards,8 Weeks,January - June 2023
noc24-ce52,Laboratory Practices in Earth Sciences: Landscape Mapping,8 Weeks,January - June 2023
noc24-ce53,Industrial Wastewater Treatment,12 weeks,January - June 2023
noc24-ce54,Advanced Topics in Science and Technology of Concrete,4 Weeks,January - June 2023
noc24-ch01,Electrochemical Technology in Pollution Control,8 Weeks,January - June 2023
noc24-ch02,Advanced Thermodynamics and Molecular Simulations,12 Weeks,January - June 2023
noc24-ch03,Applied Time-Series Analysis,12 Weeks,January - June 2023
noc24-ch04,Aspen Plus® Simulation Software - A Basic Course For Beginners,12 Weeks,January - June 2023
noc24-ch05,Basic Principles And Calculations In Chemical Engineering,12 Weeks,January - June 2023
noc24-ch06,Biological process design for wastewater treatment,8 Weeks,January - June 2023
noc24-ch07,Biomass Conversion And Biorefinery,12 Weeks,January - June 2023
noc24-ch08,Chemical Engineering Fluid Dynamics and Heat Transfer,12 Weeks,January - June 2023
noc24-ch09,Chemical Process Technology,12 Weeks,January - June 2023
noc24-ch10,Chemical Process Utilities,12 Weeks,January - June 2023
noc24-ch11,Chemical Reaction Engineering II,12 Weeks,January - June 2023
noc24-ch12,Computational Fluid Dynamics,12 Weeks,January - June 2023
noc24-ch13,Computational process design,8 Weeks,January - June 2023
noc24-ch14,Computer Aided Applied Single Objective Optimization,12 Weeks,January - June 2023
noc24-ch15,Environmental Quality Monitoring & Analysis,12 Weeks,January - June 2023
noc24-ch16,Fluid Flow Operations,12 Weeks,January - June 2023
noc24-ch17,Heat Transfer,12 Weeks,January - June 2023
noc24-ch18,Membrane Technology,12 Weeks,January - June 2023
noc24-ch19,Momentum Transfer in Fluids,12 Weeks,January - June 2023
noc24-ch20,Multiphase Flows,8 Weeks,January - June 2023
noc24-ch21,Multiphase Microfluidics,8 Weeks,January - June 2023
noc24-ch22,Physical And Electrochemical Characterizations In Chemical Engineering,8 Weeks,January - June 2023
noc24-ch23,Physico-chemical processes for wastewater treatment,12 Weeks,January - June 2023
noc24-ch24,Polymer Reaction Engineering,12 Weeks,January - June 2023
noc24-ch25,Process Equipment Design,12 Weeks,January - June 2023
noc24-ch26,"Renewable Energy Engineering: Solar, Wind And Biomass Energy Systems",12 weeks,January - June 2023
noc24-ch27,Thermodynamics Of Fluid Phase Equilibria,8 Weeks,January - June 2023
noc24-ch28,Unit operations of particulate matter,4 Weeks,January - June 2023
noc24-ch29,Waste to Energy Conversion,8 Weeks,January - June 2023
noc24-ch30,Advanced Thermodynamics,12 weeks,January - June 2023
noc24-ch31,Chemical Engineering Thermodynamics,12 Weeks,January - June 2023
noc24-ch32,Modeling Stochastic phenomena for Engineering applications: Part-1,12 Weeks,January - June 2023
noc24-ch33,Inorganic Chemical Technology,12 Weeks,January - June 2023
noc24-ch34,Applied Statistical Thermodynamics,12 Weeks,January - June 2023
noc24-ch35,"Characterization of Polymers, Elastomers and Composites",12 Weeks,January - June 2023
noc24-ch36,Matlab Programming for Numerical Computation,12 Weeks,January - June 2023
noc24-cs01,Foundations of Cryptography,12 Weeks,January - June 2023
noc24-cs02,Introduction to programming in C,8 Weeks,January - June 2023
noc24-cs03,Linear programming and its applications to computer science,8 Weeks,January - June 2023
noc24-cs04,Privacy and Security in Online Social Media,12 weeks,January - June 2023
noc24-cs05,Basics of Computational Complexity,12 Weeks,January - June 2023
noc24-cs06,Advanced Computer Architecture,12 Weeks,January - June 2023
noc24-cs07,Secure Computation: Part I,12 Weeks,January - June 2023
noc24-cs08,An Introduction to Artificial Intelligence,12 Weeks,January - June 2023
noc24-cs09,Cloud Computing and Distributed Systems,8 Weeks,January - June 2023
noc24-cs10,Switching Circuits and Logic Design,12 Weeks,January - June 2023
noc24-cs11,Advanced Computer Networks,12 Weeks,January - June 2023
noc24-cs12,Affective Computing,12 Weeks,January - June 2023
noc24-cs13,AI:Constraint Satisfaction,8 Weeks,January - June 2023
noc24-cs14,Artificial Intelligence: Knowledge Representation And Reasoning,12 Weeks,January - June 2023
noc24-cs15,Blockchain and its Applications,12 Weeks,January - June 2023
noc24-cs16,Circuit Complexity Theory,12 Weeks,January - June 2023
noc24-cs17,Cloud Computing,12 Weeks,January - June 2023
noc24-cs18,Compiler Design,12 Weeks,January - June 2023
noc24-cs19,Computer Networks And Internet Protocol,12 Weeks,January - June 2023
noc24-cs20,Data Analytics with Python,12 Weeks,January - June 2023
noc24-cs21,Data Base Management System,8 Weeks,January - June 2023
noc24-cs22,Data Mining,8 Weeks,January - June 2023
noc24-cs23,Design and analysis of algorithms,8 Weeks,January - June 2023
noc24-cs24,Embedded System Design with ARM,8 Weeks,January - June 2023
noc24-cs25,Embedded Systems Design,12 Weeks,January - June 2023
noc24-cs26,Foundation of Cloud IoT Edge ML,8 Weeks,January - June 2023
noc24-cs27,Foundations of Cyber Physical Systems,12 Weeks,January - June 2023
noc24-cs28,Fundamental Algorithms: Design And Analysis,4 Weeks,January - June 2023
noc24-cs29,Getting Started with Competitive Programming,12 Weeks,January - June 2023
noc24-cs30,GPU Architectures And Programming,12 Weeks,January - June 2023
noc24-cs31,Information Security - 5 - Secure Systems Engineering,8 Weeks,January - June 2023
noc24-cs32,"Introduction to Automata, Languages and Computation",12 Weeks,January - June 2023
noc24-cs33,Introduction to Embedded System Design,12 Weeks,January - June 2023
noc24-cs34,Introduction To Industry 4.0 And Industrial Internet Of Things,12 Weeks,January - June 2023
noc24-cs35,Introduction To Internet Of Things,12 Weeks,January - June 2023
noc24-cs36,Introduction to Machine Learning (Tamil),8 Weeks,January - June 2023
noc24-cs37,Introduction To Soft Computing,8 Weeks,January - June 2023
noc24-cs38,Machine Learning for Engineering and science applications,12 Weeks,January - June 2023
noc24-cs39,Natural Language Processing,12 Weeks,January - June 2023
noc24-cs40,"Object Oriented System Development Using UML, Java And Patterns",12 Weeks,January - June 2023
noc24-cs41,Optimisation for Machine Learning: Theory and Implementation (Hindi),8 Weeks,January - June 2023
noc24-cs42,Problem Solving Through Programming In C,12 Weeks,January - June 2023
noc24-cs43,Programming In Java,12 Weeks,January - June 2023
noc24-cs44,Programming in Modern C++,12 Weeks,January - June 2023
noc24-cs45,"Programming, Data Structures And Algorithms Using Python",8 Weeks,January - June 2023
noc24-cs46,Selected Topics in Algorithms,12 Weeks,January - June 2023
noc24-cs47,Software Testing,4 Weeks,January - June 2023
noc24-cs48,Systems and Usable Security,4 Weeks,January - June 2023
noc24-cs49,Theory of Computation,12 Weeks,January - June 2023
noc24-cs50,User-centric Computing For Human-Computer Interaction,8 Weeks,January - June 2023
noc24-cs51,Introduction to Machine Learning,12 Weeks,January - June 2023
noc24-cs52,Reinforcement Learning,12 Weeks,January - June 2023
noc24-cs53,Data Science for Engineers,8 Weeks,January - June 2023
noc24-cs54,Python for Data Science,4 Weeks,January - June 2023
noc24-cs55,Introduction to Database Systems,12 Weeks,January - June 2023
noc24-cs56,Social Networks,12 Weeks,January - June 2023
noc24-cs57,The Joy of Computing using Python,12 Weeks,January - June 2023
noc24-cs58,Discrete Mathematics,12 Weeks,January - June 2023
noc24-cs59,Deep Learning - IIT Ropar,12 Weeks,January - June 2023
noc24-cs60,"Machine Learning, ML",8 Weeks,January - June 2023
noc24-cs61,Digital Design with Verilog,12 Weeks,January - June 2023
noc24-cs62,Probability for Computer Science,8 Weeks,January - June 2023
noc24-cs63,Parallel Computer Architecture,12 Weeks,January - June 2023
noc24-cs64,Games and Information,12 weeks,January - June 2023
noc24-cs65,Business Intelligence & Analytics,12 Weeks,January - June 2023
noc24-cs66,Edge Computing,8 Weeks,January - June 2023
noc24-cy01,Metallocene and Metal-carbene based Organometallic Compounds as Industrially Important Advanced Polyolefin Catalysts,8 Weeks,January - June 2023
noc24-cy02,Advanced Chemical Thermodynamics and Kinetics,12 Weeks,January - June 2023
noc24-cy03,Advanced Transition Metal Organometallic Chemistry,12 Weeks,January - June 2023
noc24-cy04,Basic thermodynamics: Classical and Statistical Approaches,12 Weeks,January - June 2023
noc24-cy05,Basics in Inorganic Chemistry,4 Weeks,January - June 2023
noc24-cy06,Biochemistry,12 Weeks,January - June 2023
noc24-cy07,Chemistry Of Main Group Elements,12 Weeks,January - June 2023
noc24-cy08,Co-Ordination Chemistry (Chemistry Of Transition Elements),12 Weeks,January - June 2023
noc24-cy09,Electrochemical impedance Spectroscopy,12 Weeks,January - June 2023
noc24-cy10,Elementary Electrochemistry,8 Weeks,January - June 2023
noc24-cy11,Essentials Of Biomolecules : Nucleic Acids And Peptides,12 Weeks,January - June 2023
noc24-cy12,"Essentials of Oxidation, Reduction and C-C Bond Formation. Application in Organic Synthesis",12 Weeks,January - June 2023
noc24-cy13,Experimental Biochemistry,12 Weeks,January - June 2023
noc24-cy14,Fundamentals of Spectroscopy,12 Weeks,January - June 2023
noc24-cy15,Industrial Inorganic Chemistry,12 Weeks,January - June 2023
noc24-cy16,Interpretative molecular spectroscopy,12 weeks,January - June 2023
noc24-cy17,Medicinal Chemistry,12 Weeks,January - June 2023
noc24-cy18,Molecular Spectroscopy: A Physical Chemist’s perspective,12 Weeks,January - June 2023
noc24-cy19,Nuclear and Radiochemistry,12 Weeks,January - June 2023
noc24-cy20,One and Two dimensional NMR Spectroscopy: Concepts and Spectral Analysis,12 Weeks,January - June 2023
noc24-cy21,Organic Chemistry I (Tamil),4 Weeks,January - June 2023
noc24-cy22,Organometallic Chemistry,4 Weeks,January - June 2023
noc24-cy23,Pericyclic Reactions and Organic Photochemistry,8 Weeks,January - June 2023
noc24-cy24,Symmetry and Group Theory,12 Weeks,January - June 2023
noc24-cy25,"Symmetry, Stereochemistry and Applications",12 Weeks,January - June 2023
noc24-cy26,Transition Metal Organometallics in Catalysis and Biology,12 Weeks,January - June 2023
noc24-cy27,Ultrafast laser spectroscopy,12 Weeks,January - June 2023
noc24-cy28,Bioinorganic Chemistry,4 Weeks,January - June 2023
noc24-cy29,Supramolecular Chemistry-I,8 Weeks,January - June 2023
noc24-cy30,Elementary Thermodynamics for All,12 Weeks,January - June 2023
noc24-cy31,Thermodynamics: Classical To Statistical,12 Weeks,January - June 2023
noc24-cy32,Time Dependent Quantum Chemistry,12 Weeks,January - June 2023
noc24-cy33,Many body methods in quantum chemistry,12 Weeks,January - June 2023
noc24-de01,Strategies for Sustainable Design,12 Weeks,January - June 2023
noc24-de03,Fundamentals of Automotive Systems,12 Weeks,January - June 2023
noc24-de04,Understanding Design,4 Weeks,January - June 2023
noc24-de05,Understanding Ethnography,8 Weeks,January - June 2023
noc24-de06,Understanding Incubation and Entrepreneurship,12 Weeks,January - June 2023
noc24-de07,Usability Engineering,12 Weeks,January - June 2023
noc24-de08,"Design, Technology and Innovation",8 Weeks,January - June 2023
noc24-de09,Innovation by Design,4 Weeks,January - June 2023
noc24-ec01,Foundations of Accounting & Finance,12 Weeks,January - June 2023
noc24-ec02,Applied Econometrics,12 Weeks,January - June 2023
noc24-ec03,Applied Statistics and Econometrics,12 Weeks,January - June 2023
noc24-ec04,Indian Economy: Some Contemporary Perspectives,8 Weeks,January - June 2023
noc24-ec05,Microfoundations Of Macroeconomics,8 Weeks,January - June 2023
noc24-ec06,Introduction to Econometrics,12 Weeks,January - June 2023
noc24-ec07,Health Economics,12 Weeks,January - June 2023
noc24-ec08,Predictive Analytics - Regression and Classification,12 Weeks,January - June 2023
noc24-ee01,Neural Science for Engineers,12 Weeks,January - June 2023
noc24-ee02,Fundamentals of semiconductor devices,12 Weeks,January - June 2023
noc24-ee03,Photonic integrated circuit,12 Weeks,January - June 2023
noc24-ee04,Deep Learning,12 Weeks,January - June 2023
noc24-ee05,Electronics Enclosures Thermal issues,8 Weeks,January - June 2023
noc24-ee06,Electronics equipment integration and Prototype building,8 Weeks,January - June 2023
noc24-ee07,Fundamental of Power Electronics,12 Weeks,January - June 2023
noc24-ee08,"Integrated Circuits, Mosfets, OP-Amps and their Applications",12 Weeks,January - June 2023
